centrality,generation_formed,smiles_str
74722.57330192684,0,O
13456.070828588887,1,C=O
9995.565220362138,1,C(C)=O
7456.365348885384,0,C(CO)=O
7135.914391628665,0,C(CC(C(C(C=O)O)O)O)=O
6348.28347616533,1,C(C)(CO)=O
5177.153605563074,0,C(C(C(C(C(C)=O)O)O)O)=O
5086.82897566854,0,C(C(C(C(C(CO)O)O)O)O)(O)=O
4994.75210448377,1,C(C(CO)O)=O
4984.513904019927,0,C(C(C(CC(CO)=O)O)O)=O
4903.870740237973,0,C(C(C(C=O)O)O)(CCO)=O
4599.912089730353,0,C(C(CC(C(CO)O)O)=O)=O
4229.645965822449,0,C(CC(C=O)O)(C(CO)O)=O
4020.0578855790973,0,C(C(C(C(C(CO)O)O)O)O)=O
3863.248360900388,0,C(CC(C(C(CO)O)O)=O)=O
3685.667846504386,0,C(C(C(CC(CO)O)=O)O)=O
2985.6921578240913,0,C1C(C(C(C(C(O)O1)O)O)O)O
2880.3251269141592,1,C(CC(C(C(CO)O)=O)O)=O
2833.6652397446405,1,C(CO)(CCO)=O
2814.73750701711,1,C(C)(C(CO)O)=O
2765.5979543419758,0,C(CO)(C(C(C(CO)O)O)O)=O
2564.8539396654996,0,C(C(C(CO)O)O)=O
2547.6603840458215,1,C(CC(C(C(CO)=O)O)O)=O
2455.031964131271,1,C(CO)(C(CO)O)=O
2224.3517696381996,1,C(C(C)=O)=O
2179.8655424124277,1,C(CC(C=O)O)=O
2074.639867955597,0,C(C(C(C(C(CO)O)O)O)O)O
2062.044242453684,1,C(CC(C(C(C(O)=O)O)O)O)=O
2005.0247566359847,0,C(C1C(C(C(C(O)O1)O)O)O)O
1983.3180980962836,1,C(C(C(CC(C=O)O)O)O)=O
1965.0273264815592,0,C(C(C1C(C(C(O)O1)O)O)O)O
1916.4764388683197,1,C(CC(C(C(CO)O)O)O)=O
1797.603004556304,1,C(CC(CO)=O)=O
1739.9171783647346,1,C(C(CO)O)(CC(CO)=O)=O
1545.1487442521873,1,C(CO)(CO)=O
1450.2625725170817,1,C(C=O)=O
1409.6491822289743,1,C(C(C(C=O)O)O)(C(C)O)=O
1342.2622558801625,1,C(C(C(C(C)=O)O)O)=O
1334.8740328982697,1,C(C(CC(C(CO)=O)O)O)=O
1212.0856727507082,1,C(C(CCO)=O)=O
1178.9812483428611,1,C(C(C(CC(CO)O)O)=O)=O
1122.1210883635354,1,C(CC(C(O)=O)O)(C(CO)O)=O
1010.6460219557547,1,C(C(C(C(CCO)O)=O)O)=O
1009.8412381197838,1,C(C(CO)O)(CC(CO)O)=O
996.0515582151208,1,C(C)(C(C(C(CO)=O)O)O)=O
979.0633375989116,1,C(CO)O
946.9864563642479,1,C(C(C(C)=O)O)=O
940.2918993594279,1,C(CO)(O)=O
933.212642926995,1,C(C(C(CO)O)O)(CCO)=O
923.107362838317,1,C(C(C(C(O)=O)O)O)(CCO)=O
864.289842562109,1,C(CC(CC(C=O)O)=O)=O
859.9818683588808,1,C(CO)(C(CC(CO)=O)O)=O
826.574202327066,1,C(CC(CC(CO)=O)=O)=O
794.0003662717802,1,C(CC(CC(C=O)=O)O)=O
779.2553217836672,1,C1(C(CO)OC(C(C1)O)O)=O
777.4840967550622,1,C(C(CC(CO)=O)O)=O
767.8712679570004,1,C(C)(C(CC(C=O)=O)O)=O
754.9211319973668,1,C(C(C(CO)O)O)(C(CO)O)=O
752.6924675324676,1,C(C(CC(C(CO)O)O)O)(O)=O
727.5654890814741,1,C1(COC(C(C(C1)O)O)O)=O
724.5129203490517,1,C(C(C(C(C=C)=O)O)O)=O
699.459068608439,1,C(C1C(CC(CO)(O1)O)O)=O
694.7282882146371,1,C(CCO)(CC(C=O)=O)=O
690.9671930849872,1,C(CC(C(CC=O)O)=O)=O
682.463518364149,1,C1(C(C(C(C1CO)O)O)O)=O
655.6680326393201,1,C(C1C(C(C(C)(O1)O)O)O)=O
646.2368769040147,1,C(C1C(C(CC(O1)O)O)O)=O
644.465909090909,1,C(CC(C(C(C=O)O)O)O)(O)=O
636.4804774041231,1,C1(C(C(O)OCC(C1)O)O)=O
627.6121007739798,1,C1(C(COC(C(C1)O)O)O)=O
624.0741415078483,1,C(CC(C(CCO)=O)=O)=O
615.0009648041948,1,C(CO)(CCC(C=O)=O)=O
605.8942056680413,1,C(C(CO)=O)(CC(CO)O)=O
605.5590371563558,1,C(CC1C(C(C(O)O1)O)O)=O
597.0070705977759,1,C(C(CC(C(C)=O)=O)O)=O
596.4637209568396,1,C(C)(C1C(C(C(O1)O)O)O)=O
592.0568100518027,1,C(C(C(C(C(C)=O)O)O)O)(O)=O
587.7671740659798,1,C1(C(C(C(O)OCC1)O)O)=O
586.9676722811307,1,C1(C(O)OCC(C(C1)O)O)=O
584.828795609784,1,C(C1(C(C(CC1O)O)O)O)=O
567.119337047337,1,C1(C(C(C(C(C1)O)O)O)O)=O
555.2578415709029,1,C(C(C(CO)O)O)(O)=O
549.6507176055026,1,C(C(CC(C(CO)O)O)=O)(O)=O
545.5624253199435,1,C(C(C=O)O)=O
544.9259319638902,1,C1(COCC(C(C1O)O)O)=O
542.1889573199087,1,C(C(C1(CC(CO1)O)O)O)=O
534.1188514100278,1,C(CC(C(C(CO)O)O)=O)(O)=O
517.216250905812,1,C1(C(C(COC(C1)O)O)O)=O
505.29524243357406,1,C1(C(C(CO)O)OC(C1)O)=O
496.90509520919767,1,C(CC1(C(C(CO1)O)O)O)=O
471.2516116246464,1,C(C(C(CC(CO)=O)O)O)(O)=O
471.19684760523893,1,C1(COC(CO)C(C1O)O)=O
469.8428978274206,1,C1(COC(C(CO)O)C1O)=O
453.0458520167125,1,C(C(C1C(CC(O)O1)O)O)=O
452.69270674682406,1,C(C)(C(C(C(CO)O)O)O)=O
451.2903561456418,1,C1(C(C(O)OC(CO)C1)O)=O
443.13857115618555,1,C(C(C(CCC=O)=O)O)=O
434.1859513668934,1,C(C(C=O)O)(CC(C)=O)=O
428.2060031195831,1,C1(CC(C(C(CO1)O)O)O)=O
418.53115030227826,1,C(C1(CC(C(CO1)O)O)O)=O
414.05571441889487,1,C(CCO)(C(C(CO)=O)O)=O
406.41607855854386,1,C(C(C=CC(CO)=O)O)=O
404.9632010161791,1,C1(CC(C(C1(CO)O)O)O)=O
398.8871236899661,1,C(CC(C(C(C)=O)O)=O)=O
396.50073605292766,1,C1(C(C(CO)OC(C1)O)O)=O
387.1461264488306,1,C1(C(O)OC(CO)C(C1)O)=O
364.3771325759242,1,C(C(C(C=O)O)O)=O
360.7818559578728,1,C1C(C(C(C(CO)(O)O1)O)O)O
344.22748073375806,1,C(C1(CC(C(CO)O1)O)O)=O
342.878897817238,1,C1(CC(C(C(CO)O1)O)O)=O
342.0781830799948,1,C(C=CC(C(CO)O)=O)=O
341.5968614718615,1,C(C(C(C(CCO)O)O)O)=O
336.54157062157594,1,C(C1C(C(C(C1O)O)O)O)=O
333.39469890918593,1,C1(CC(C(C(CO)O)O1)O)=O
332.34181651681655,1,C(C(C(CC(CO)O)=O)O)(O)=O
314.87857970879236,1,C(C(C(C=CC=O)O)O)=O
299.36350960240765,1,C(C1(C(C(C(CO)O1)O)O)O)O
297.4202380952382,1,C1(C(C(C(C(CO)O1)O)O)O)=O
296.45238095238096,1,C1(C(C(C(C(CO)O)O1)O)O)=O
287.11745226926126,1,C1(C(O)OC(C(CO)O)C1)=O
285.15476190476187,1,C1C(C(C(C(C(O)(O)O1)O)O)O)O
270.4425590872507,1,C(C(C(C=CCO)=O)O)=O
261.38844564642517,1,C(C(C(CO)O)(C(CO)O)O)=O
238.60982276257252,1,C(CO)(CC(C(CO)O)O)=O
238.06604338330442,1,C1C(C(C(O)O1)O)O
233.92023809523823,1,C(C1C(C(C(C(O)(O)O1)O)O)O)O
230.28571428571445,1,C(C(C1C(C(C(O)(O)O1)O)O)O)O
197.667836221221,1,C(C(CO)O)=CC(C=O)=O
18.730448830935483,1,C(C(C(CO)O)O)O
0.0,2,C1(C(CO)C(C(C1)=O)O)=O
0.0,2,C1(CCC(C(C1O)O)=O)=O
0.0,2,C(C1(CCC(C1O)=O)O)=O
0.0,2,C1(CC(C(CC1O)=O)O)=O
0.0,2,C(C1(CC(C(C1)=O)O)O)=O
0.0,2,C(C1C(CC(C1O)=O)O)=O
0.0,2,C1(C(CC(C1CO)O)=O)=O
0.0,2,C1(CC(C(C(C1)=O)O)O)=O
0.0,2,C1(CC(CC(C1O)=O)O)=O
0.0,2,C(C1C(C(CC1O)O)=O)=O
0.0,2,C(C1C(C(C(C1)=O)O)O)=O
0.0,2,C1(C(CC(C(C1)O)O)=O)=O
0.0,2,C(C1C(CC(C1O)O)=O)=O
0.0,2,C1(C(C(C(C1)O)(CO)O)O)=O
0.0,2,C1(C(CC(CO)(C1O)O)O)=O
0.0,2,C1(C(C(C(CO)(C1)O)O)O)=O
0.0,2,C1(C(C(C(C)(C1O)O)O)O)=O
0.0,2,C1(C(C(CC(C1O)O)O)O)=O
0.0,2,C1C(C(C(C(C=1)=O)O)O)O
0.0,2,C1(C(C(C(C1)O)O)O)=O
0.0,2,C1(C(C(C(CC1O)O)O)O)=O
0.0,2,C1(C(C(C(C(C1CO)O)O)O)O)=O
0.0,2,C(CCO)(C(C(C=O)=O)CO)=O
0.0,2,C(C(CO)CO)(CC(C=O)=O)=O
0.0,2,C(CCO)(C(C(C=O)=O)C(C)O)=O
0.0,2,C(C(CO)C(C)O)(CC(C=O)=O)=O
0.0,2,C(CC(C(CC(CCO)=O)=O)O)=O
0.0,2,C(CC(C=O)(CC=O)O)(CCO)=O
0.0,2,C(CC(CCO)(CC(C=O)=O)O)=O
0.0,2,C(CC(C(C=O)=O)CO)(CO)=O
0.0,2,C(CO)(C(CO)CC(C=O)=O)=O
0.0,2,C(CCC(C=O)=O)(C(CO)O)=O
0.0,2,C(CC(C(C=O)=O)C(C)O)(CO)=O
0.0,2,C(CO)(C(C(C)O)CC(C=O)=O)=O
0.0,2,C(CCC(C=O)=O)(C(C(C)O)O)=O
0.0,2,C(CC(C(CCC(CO)=O)=O)O)=O
0.0,2,C(CO)(CCC(C=O)(CC=O)O)=O
0.0,2,C(CC(CCC(C=O)=O)(CO)O)=O
0.0,2,C(C(C(C(C=O)=O)CO)O)(C)=O
0.0,2,C(C(CC(C=O)=O)O)(CCO)=O
0.0,2,C(C(C(C(C=O)=O)C(C)O)O)(C)=O
0.0,2,C(C(CC(C=O)=O)O)(CC(C)O)=O
0.0,2,C(CC(C(CC(C(C)=O)O)=O)O)=O
0.0,2,C(C)(C(CC(C=O)(CC=O)O)O)=O
0.0,2,C(CC(C)(C(CC(C=O)=O)O)O)=O
0.0,2,C(CC(C(C(C=O)=O)CO)O)=O
0.0,2,C(C(CO)C(CC(C=O)=O)O)=O
0.0,2,C(CC(C(C(C=O)=O)C(C)O)O)=O
0.0,2,C(C(C(CC(C=O)=O)O)C(C)O)=O
0.0,2,C(CC(C(CC(CC=O)O)=O)O)=O
0.0,2,C(CC(CC(C=O)(CC=O)O)O)=O
0.0,2,C(CC(CC(CC(C=O)=O)O)O)=O
0.0,2,C(C(C(C(CCO)=O)=O)CO)=O
0.0,2,C(CC(C(C(CO)CO)=O)=O)=O
0.0,2,C(C(C(C(CCO)=O)=O)C(C)O)=O
0.0,2,C(CC(C(C(CO)C(C)O)=O)=O)=O
0.0,2,C(CC(CC(C(CCO)=O)=O)O)=O
0.0,2,C(CC(C(CCO)=O)(CC=O)O)=O
0.0,2,C(C(CCO)(CC=O)O)(CC=O)=O
0.0,2,C(C(C(CC(CO)=O)=O)CO)=O
0.0,2,C(CC=O)(C(C(CO)=O)CO)=O
0.0,2,C(CC(CC(C(CO)O)=O)=O)=O
0.0,2,C(C(C(CC(CO)=O)=O)C(C)O)=O
0.0,2,C(CC=O)(C(C(CO)=O)C(C)O)=O
0.0,2,C(CC(CC(C(C(C)O)O)=O)=O)=O
0.0,2,C(CC(CC(CC(CO)=O)=O)O)=O
0.0,2,C(CC(CC=O)(CC(CO)=O)O)=O
0.0,2,C(CC(CC(CO)(CC=O)O)=O)=O
0.0,2,C(C(C(C(C(C)=O)O)=O)CO)=O
0.0,2,C(CC(C(C(CCO)=O)O)=O)=O
0.0,2,C(C(C(C(C(C)=O)O)=O)C(C)O)=O
0.0,2,C(CC(C(C(CC(C)O)=O)O)=O)=O
0.0,2,C(CC(CC(C(C(C)=O)O)=O)O)=O
0.0,2,C(CC(C(C(C)=O)O)(CC=O)O)=O
0.0,2,C(CC(C)(C(C(CC=O)=O)O)O)=O
0.0,2,C(CC(C(C(C=O)CO)=O)O)=O
0.0,2,C(C(CO)C(C(CC=O)=O)O)=O
0.0,2,C(CC(C(C(C=O)C(C)O)=O)O)=O
0.0,2,C(C(C(C)O)C(C(CC=O)=O)O)=O
0.0,2,C(CC(C(CC=O)O)(CC=O)O)=O
0.0,2,C(CC(CC(C(CC=O)=O)O)O)=O
0.0,2,C(C(C=O)O)(C(C(C)=O)CO)=O
0.0,2,C(C(C=O)O)(CC(CCO)=O)=O
0.0,2,C(C(C=O)O)(C(C(C)=O)C(C)O)=O
0.0,2,C(C(C=O)O)(CC(CC(C)O)=O)=O
0.0,2,C(CC(C(C(CC(C)=O)=O)O)O)=O
0.0,2,C(CC(C(C=O)O)(CC(C)=O)O)=O
0.0,2,C(C(C(CC(C)(CC=O)O)=O)O)=O
0.0,2,C(C(CO)CC=O)(C(C=O)O)=O
0.0,2,C(C(CO)CC(C(C=O)O)=O)=O
0.0,2,C(C(C(C)O)CC=O)(C(C=O)O)=O
0.0,2,C(C(C(C)O)CC(C(C=O)O)=O)=O
0.0,2,C(CC(C(C(CCC=O)=O)O)O)=O
0.0,2,C(CCC(C(C=O)O)(CC=O)O)=O
0.0,2,C(C(C(CCC(CC=O)O)=O)O)=O
0.0,2,C(C(C(C(C(C)=O)=O)CO)O)=O
0.0,2,C(C(CC(C(CCO)=O)=O)O)=O
0.0,2,C(C(C(C(C(C)=O)=O)C(C)O)O)=O
0.0,2,C(C(CC(C(CC(C)O)=O)=O)O)=O
0.0,2,C(CC(C(CC(C(C)=O)=O)O)O)=O
0.0,2,C(C)(C(CC(C=O)O)(CC=O)O)=O
0.0,2,C(CC(C=O)O)(C(C)(CC=O)O)=O
0.0,2,C(C(CO)C(C=O)O)(CC=O)=O
0.0,2,C(CC(C=O)O)(C(C=O)CO)=O
0.0,2,C(C(C(C)O)C(C=O)O)(CC=O)=O
0.0,2,C(CC(C=O)O)(C(C=O)C(C)O)=O
0.0,2,C(CC(CC(C(CC=O)O)O)=O)=O
0.0,2,C(CC(CC(C=O)O)(CC=O)O)=O
0.0,2,C(CC(C=O)O)(CC(CC=O)O)=O
0.0,2,C(C(C)(C(C(C=O)=O)CO)O)=O
0.0,2,C(C(CCO)(CC(C=O)=O)O)=O
0.0,2,C(C(C(CO)C(C(CO)O)O)=O)=O
0.0,2,C(C(C(C(C=O)=O)CO)O)=O
0.0,2,C(C(C(CO)CO)=O)=O
0.0,2,C(C(C(C(C(C=O)=O)CO)O)O)=O
0.0,2,C(C(C(CO)C(C)(CO)O)=O)=O
0.0,2,C(CC(C(CCO)=O)O)(CO)=O
0.0,2,C(C(CCO)(CC(CO)=O)O)=O
0.0,2,C(C(C(C(CCO)=O)O)O)(C)=O
0.0,2,C(C(CCO)(C(C(C)=O)O)O)=O
0.0,2,C(C(C(CO)C(C)O)=O)=O
0.0,2,C(CC(C(CCO)=O)O)=O
0.0,2,C(C(CCO)(CC=O)O)=O
0.0,2,C(C(C(CO)C(CO)(CO)O)=O)=O
0.0,2,C(C(C(C(CCO)=O)O)O)(CO)=O
0.0,2,C(C(CCO)(C(C(CO)=O)O)O)=O
0.0,2,C(C(C(CO)=O)C(C(C)=O)O)=O
0.0,2,C(CC(C(C(C(C)=O)O)O)=O)=O
0.0,2,C(C(C)(C(C=O)C(CO)=O)O)=O
0.0,2,C(C(C)(C(C(CC=O)=O)O)O)=O
0.0,2,C(CO)(CC(CC(C=O)=O)O)=O
0.0,2,C(CC(CO)(CC(C=O)=O)O)=O
0.0,2,C(C(C(CO)=O)C(C(CO)O)O)=O
0.0,2,C(CC(C(C(C(CO)O)O)O)=O)=O
0.0,2,C(C(C(CO)=O)C(C=O)O)=O
0.0,2,C(CC(C(C(C=O)O)O)=O)=O
0.0,2,C(C(C(CO)=O)CO)=O
0.0,2,C(CC(C(CO)O)=O)=O
0.0,2,C(C(C(C(C=O)C(CO)=O)O)O)=O
0.0,2,C(CC(C(C(C(C=O)O)O)O)=O)=O
0.0,2,C(C(C(CO)=O)C(CO)(C)O)=O
0.0,2,C(CC(C(C(CO)(C)O)O)=O)=O
0.0,2,C(CO)(CC(CC(CO)=O)O)=O
0.0,2,C(CC(CO)(CC(CO)=O)O)=O
0.0,2,C(C)(C(C(CC(CO)=O)O)O)=O
0.0,2,C(CC(CO)(C(C(C)=O)O)O)=O
0.0,2,C(C(C(CO)=O)C(C)O)=O
0.0,2,C(CC(C(C(C)O)O)=O)=O
0.0,2,C(CC(CC(CO)=O)O)=O
0.0,2,C(CC(CO)(CC=O)O)=O
0.0,2,C(C(C(CO)=O)C(CO)(CO)O)=O
0.0,2,C(CC(C(C(CO)(CO)O)O)=O)=O
0.0,2,C(CO)(CC(C(C(CO)=O)O)O)=O
0.0,2,C(CC(CO)(C(C(CO)=O)O)O)=O
0.0,2,C(C(C(CC(C(C)=O)O)=O)O)=O
0.0,2,C(C(C)(CC(C(C=O)O)=O)O)=O
0.0,2,C(C)(C(C(CC(C=O)=O)O)O)=O
0.0,2,C(C(C(C)(CC(C=O)=O)O)O)=O
0.0,2,C(C(C(CC(C(CO)O)O)=O)O)=O
0.0,2,C(C(C(CC(C=O)O)=O)O)=O
0.0,2,C(C(C(CCO)=O)O)=O
