count_incoming,exact_mass,generation_formed,smiles_str
110,18.011,0,O
79,196.058,0,C(C(C(C(C(CO)O)O)O)O)(O)=O
70,182.079,0,C(C(C(C(C(CO)O)O)O)O)O
29,60.021,0,C(CO)=O
22,30.011,1,C=O
17,162.053,0,C(CC(C(C(C=O)O)O)O)=O
15,162.053,0,C(C(C(C(C(C)=O)O)O)O)=O
15,74.037,1,C(C)(CO)=O
15,162.053,0,C(C(C(C=O)O)O)(CCO)=O
15,180.063,0,C(C(C(C(C(CO)O)O)O)O)=O
14,162.053,0,C(C(C(CC(CO)=O)O)O)=O
14,162.053,0,C(CC(C(C(CO)O)O)=O)=O
14,162.053,0,C(C(CC(C(CO)O)O)=O)=O
14,162.053,0,C(CC(C=O)O)(C(CO)O)=O
13,180.063,0,C(CO)(C(C(C(CO)O)O)O)=O
12,120.042,0,C(C(C(CO)O)O)=O
12,162.053,0,C(C(C(CC(CO)O)=O)O)=O
12,90.032,1,C(C(CO)O)=O
11,58.005,1,C(C=O)=O
10,44.026,1,C(C)=O
10,104.047,1,C(CO)(CCO)=O
9,104.047,1,C(C)(C(CO)O)=O
8,180.063,1,C(C(C(CO)O)O)(C(CO)O)=O
8,162.053,1,C(C(C(CC(C=O)O)O)O)=O
8,180.063,0,C1C(C(C(C(C(O)O1)O)O)O)O
7,120.042,1,C(CO)(C(CO)O)=O
7,104.047,2,C(CC(CO)O)=O
7,180.063,2,C(CC(C(C(CO)O)O)O)(O)=O
7,146.058,2,C(CC(C(CCO)=O)O)=O
7,146.058,2,C(CC(CC(CO)=O)O)=O
7,146.058,2,C(C)(C(CC(CO)=O)O)=O
7,164.068,1,C(CO)(CC(C(CO)O)O)=O
7,164.068,1,C(C(C(CO)O)O)(CCO)=O
7,164.068,1,C(C(CO)O)(CC(CO)O)=O
7,72.021,1,C(C(C)=O)=O
6,178.048,2,C(C(C(CC(C=O)O)O)O)(O)=O
6,102.032,1,C(CC(C=O)O)=O
6,162.053,1,C(CC(C(C(CO)O)=O)O)=O
6,162.053,1,C(C(CO)O)(CC(CO)=O)=O
6,178.048,1,C(CC(C(C(C(O)=O)O)O)O)=O
6,178.048,1,C(C(C(C(C(C)=O)O)O)O)(O)=O
6,178.048,1,C(C(C(CC(CO)=O)O)O)(O)=O
6,134.058,2,C(C)(C(C(CO)O)O)=O
6,134.058,2,C(CO)(CC(CO)O)=O
6,146.058,2,C(CCO)(CC(CO)=O)=O
6,180.063,0,C(C(C1C(C(C(O)O1)O)O)O)O
6,180.063,0,C(C1C(C(C(C(O)O1)O)O)O)O
6,164.068,1,C(C)(C(C(C(CO)O)O)O)=O
6,164.068,1,C(CC(C(C(CO)O)O)O)=O
5,162.053,1,C(C(CC(C(CO)=O)O)O)=O
5,90.032,1,C(CO)(CO)=O
5,102.032,1,C(CC(CO)=O)=O
5,164.068,2,C(C1(CC(C(CO)O1)O)O)O
5,196.058,2,C(C(C(CO)O)(C(CO)O)O)(O)=O
5,104.047,2,C(C(CCO)O)=O
5,136.037,1,C(C(C(CO)O)O)(O)=O
5,106.027,2,C(C(CO)O)(O)=O
5,118.027,2,C(C(C(C)=O)O)(O)=O
5,118.027,2,C(CC(CO)=O)(O)=O
5,104.011,2,C(C(C=O)O)(O)=O
5,74.0,2,C(C(O)=O)=O
5,160.037,2,C(CC(CC(C(O)=O)O)=O)=O
5,160.037,2,C(C(CC(C(C)=O)=O)O)(O)=O
5,160.037,2,C(C(C(CCC=O)=O)O)(O)=O
5,160.037,2,C(C(C(O)=O)O)(CC(C)=O)=O
5,160.037,2,C(CC(C(CC=O)O)=O)(O)=O
5,160.037,2,C(CC(C(C(C)=O)O)=O)(O)=O
5,160.037,2,C(CC(CC(CO)=O)=O)(O)=O
5,160.037,2,C(CC(C(CCO)=O)=O)(O)=O
5,160.037,2,C(CC(CC(C(O)=O)=O)O)=O
5,160.037,2,C(C)(C(CC(C(O)=O)=O)O)=O
5,160.037,2,C(CO)(CCC(C(O)=O)=O)=O
5,160.037,2,C(CCO)(CC(C(O)=O)=O)=O
5,164.068,2,C(CO)(C(CC(CO)O)O)=O
5,164.068,2,C(C(CCO)O)(C(CO)O)=O
5,146.058,2,C(CO)=CC(C(CO)O)=O
5,146.058,2,C(C(CO)O)=CC(CO)=O
5,146.058,2,C(CC(CC(CO)O)=O)=O
5,146.058,2,C(C(C)=O)(CC(CO)O)=O
5,146.058,2,C(CCC=O)(C(CO)O)=O
5,146.058,2,C(C(CO)O)(CC(C)=O)=O
5,146.058,2,C(CCO)(C(C(C)=O)O)=O
5,122.058,1,C(C(C(CO)O)O)O
5,150.053,2,C(C(C(C(CO)O)O)O)=O
5,162.053,1,C(CC(C(C(CO)=O)O)O)=O
5,144.042,1,C(CC(CC(CO)=O)=O)=O
5,132.042,1,C(C(C(C(C)=O)O)O)=O
5,162.053,2,C(CO)(C(CO)C(C=O)O)=O
4,164.068,2,C(C(CC(C(CO)O)O)O)=O
4,192.063,2,C(C(CO)(C(CC(C=O)O)O)O)=O
4,144.042,1,C(CC(CC(C=O)O)=O)=O
4,178.048,2,C(C(C(C(O)=O)O)O)(C(C)O)=O
4,164.068,2,C(C(C(CO)O)O)(C(C)O)=O
4,192.063,2,C(C(C(C(C(CO)O)=O)O)O)(C)=O
4,162.053,2,C(C(CO)O)(C(C(C)=O)O)=O
4,162.053,2,C(C(C(CO)O)=O)(CCO)=O
4,178.048,2,C(C1(CC(C(CO)O1)O)O)(O)=O
4,178.048,2,C(CC1(C(C(CO1)O)O)O)(O)=O
4,164.068,2,C1C(C(C(CCO)(O)O1)O)O
4,178.048,2,C(C(C1(CC(CO1)O)O)O)(O)=O
4,164.068,2,C1C(CC(C(CO)O)(O)O1)O
4,178.048,2,C(C1C(CC(CO)(O1)O)O)(O)=O
4,178.048,2,C(C1C(C(C(C)(O1)O)O)O)(O)=O
4,164.068,2,CC1(C(C(C(CO)O1)O)O)O
4,178.048,2,C(C(C1C(CC(O)O1)O)O)(O)=O
4,164.068,2,C(C(C1C(CC(O)O1)O)O)O
4,178.048,2,C(C1(CC(C(CO1)O)O)O)(O)=O
4,164.068,2,C1C(C(CC(CO)(O)O1)O)O
4,178.048,2,C(C1C(C(CC(O1)O)O)O)(O)=O
4,164.068,2,C(C1C(C(CC(O)O1)O)O)O
4,180.063,2,C(C1(C(C(C(C1O)O)O)O)O)O
4,132.042,2,C1(C(C(C(C1)O)O)O)=O
4,144.042,2,C(C1C(CC(C1O)O)=O)=O
4,178.048,2,C(C1(C(C(CC1O)O)O)O)(O)=O
4,180.063,2,C(C(C(C(CCO)O)O)O)(O)=O
4,166.084,2,C(C(C(C(CCO)O)O)O)O
4,164.068,2,C(CC1C(C(C(O)O1)O)O)O
4,164.068,2,C(CO)(C(C(CCO)O)O)=O
4,146.058,2,C(C(C(C=CCO)O)O)=O
4,146.058,2,C(CC(C=O)O)(CCO)=O
4,146.058,2,C(C(C(CCCO)=O)O)=O
4,146.058,2,C(CC(C(CCO)O)=O)=O
4,146.058,2,C(C(CC(CCO)O)=O)=O
4,194.043,2,C(CC(C(C(C(O)=O)O)O)O)(O)=O
4,178.048,2,C(CC1C(C(C(O)O1)O)O)(O)=O
4,178.048,2,C(CC(C(C(CO)=O)O)O)(O)=O
4,118.027,2,C(CC(C=O)O)(O)=O
4,160.037,2,C(C(C(C=CC(O)=O)O)O)=O
4,160.037,2,C(CC(CC(C=O)O)=O)(O)=O
4,160.037,2,C(C(C(CCC(O)=O)=O)O)=O
4,160.037,2,C(CC(C(CC(O)=O)O)=O)=O
4,160.037,2,C(CC(CC(C=O)=O)O)(O)=O
4,118.027,2,C(C(CC=O)O)(O)=O
4,118.027,2,C(C(CCO)=O)(O)=O
4,178.048,2,C(C(C(C(CCO)O)=O)O)(O)=O
4,178.048,2,C(C(CC(C(CO)=O)O)O)(O)=O
4,178.048,2,C(C(C(CC(CO)O)O)=O)(O)=O
4,178.048,2,C(CC(C(C(CO)O)=O)O)(O)=O
4,134.022,2,C(C(C(C=O)O)O)(O)=O
4,148.037,2,C(C(C(C(C)=O)O)O)(O)=O
4,148.037,2,C(C(CC(CO)=O)O)(O)=O
4,88.016,2,C(C(C)=O)(O)=O
4,160.037,2,C(C(C(C=CC=O)O)O)(O)=O
4,160.037,2,C(C(C=CC(CO)=O)O)(O)=O
4,160.037,2,C(C(C(C(C=C)=O)O)O)(O)=O
4,160.037,2,C(C=CC(C(CO)O)=O)(O)=O
4,160.037,2,C(C(C(C=CCO)=O)O)(O)=O
4,160.037,2,C(C(CO)O)=CC(C(O)=O)=O
4,92.047,2,C(C(CO)O)O
4,146.058,2,C(C(C(CO)O)O)=CC=O
4,146.058,2,C=CC(C(C(CO)O)O)=O
4,146.058,2,C(C(CCO)=O)(CCO)=O
4,146.058,2,C(CO)(CCC(CO)=O)=O
4,62.037,1,C(CO)O
4,178.048,1,C(C(CC(C(CO)O)O)=O)(O)=O
4,178.048,1,C(CC(C(C(CO)O)O)=O)(O)=O
4,178.048,1,C(C(C(CC(CO)O)=O)O)(O)=O
4,178.048,1,C(CC(C(O)=O)O)(C(CO)O)=O
4,178.048,1,C(C(C(C(O)=O)O)O)(CCO)=O
4,76.016,1,C(CO)(O)=O
4,192.063,2,C(C(C(CO)C(C(CO)O)O)=O)=O
4,144.042,1,C(CC(C(CC=O)O)=O)=O
4,102.032,1,C(C(CCO)=O)=O
4,192.063,2,C(C(CO)(C(CC(CO)=O)O)O)=O
4,192.063,2,C(C(CO)O)(CC(C(C=O)O)O)=O
4,192.063,2,C(C(C(C(C(CO)=O)CO)O)O)=O
4,162.053,1,C(CO)(C(CC(CO)=O)O)=O
4,192.063,2,C(C(C(C(C(C)=O)(CO)O)O)O)=O
4,192.063,2,C(C(CO)(C(C(C(C)=O)O)O)O)=O
4,192.063,2,C(C(C(C(C=O)O)O)O)(CCO)=O
4,162.053,1,C(C)(C(C(C(CO)=O)O)O)=O
4,192.063,2,C(C(CO)(C(C(CC=O)O)O)O)=O
4,150.053,2,C(C(CO)(C(CO)O)O)=O
4,192.063,2,C(C(C(C(CC(CO)=O)O)O)O)=O
4,192.063,2,C(C(C(C(C(C(C)=O)O)O)O)O)=O
4,174.053,2,C(C(CC(C=O)=O)O)(CCO)=O
4,174.053,2,C(C(C(C(C=O)=O)CO)O)(C)=O
4,126.032,2,C(CC(C=CC=O)=O)=O
4,192.063,2,C(C(C(C(CCO)=O)O)O)(CO)=O
4,176.068,2,C(C(C(C(CCO)=O)O)O)(C)=O
4,146.058,2,C(CC(C(C(C)=O)O)O)=O
4,176.068,2,C(CC(C(CC(CO)=O)O)O)=O
4,176.068,2,C(CC(C(C(C(C)=O)O)O)O)=O
4,144.042,2,C(CO)(C(C=CC=O)O)=O
4,194.079,2,C(C)(C(CO)(C(C(CO)O)O)O)=O
4,194.079,2,C(C(C(C(CO)O)O)O)(CCO)=O
4,194.079,2,C(CO)(C(CO)C(C(CO)O)O)=O
4,194.079,2,C(C(CO)O)(CC(C(CO)O)O)=O
3,178.048,2,C(C(CC(C(C=O)O)O)O)(O)=O
3,164.068,2,C(C(C(CC(CO)O)O)O)=O
3,162.053,2,C(C(C(C(C(C)O)O)=O)O)=O
3,102.032,2,C(C(CO)=O)(C)=O
3,180.063,2,C1C(C(C(C(CO)O)(O)O1)O)O
3,150.053,2,C(CO)(C(C(CO)O)O)=O
3,102.032,2,C1(COC(C1)O)=O
3,162.053,2,C(C)(C(CO)(C(C=O)O)O)=O
3,192.063,2,C1(C(CO)(C(C(C1CO)O)O)O)=O
3,164.068,2,C(C1(C(C(CC1O)O)O)O)O
3,182.079,2,C(C(C(CO)O)(C(CO)O)O)O
3,162.053,2,C(C(C(CO)O)(CC=O)O)=O
3,162.053,2,C(C(C(CO)=O)C(CO)O)=O
3,60.021,2,C(C)(O)=O
3,46.005,2,C(O)=O
3,178.048,2,C(C1C(C(C(C1O)O)O)O)(O)=O
3,46.042,2,CCO
3,32.026,2,CO
3,164.068,2,C(C1C(C(C(C1O)O)O)O)O
3,164.068,1,C(C(C(C(CCO)O)O)O)=O
3,178.048,1,C(CC(C(C(C=O)O)O)O)(O)=O
3,162.053,1,C(C(C(C=O)O)O)(C(C)O)=O
3,162.053,1,C(C(C(C(CCO)O)=O)O)=O
3,162.053,1,C(C(C(CC(CO)O)O)=O)=O
3,162.053,2,C(C(C(C(CCO)O)O)=O)=O
3,162.053,2,C(CC(C(O)=O)O)(CCO)=O
3,162.053,2,C(C(CCC(CO)=O)O)(O)=O
3,162.053,2,C(C(CC(C(C)=O)O)O)(O)=O
3,162.053,2,C(CC(CC(C(O)=O)O)O)=O
3,162.053,2,C(C(C=CC(CO)O)O)(O)=O
3,144.042,1,C(C)(C(CC(C=O)=O)O)=O
3,102.032,1,C(C(C(C)=O)O)=O
3,132.042,1,C(C(CC(CO)=O)O)=O
3,118.027,1,C(C(C(C=O)O)O)=O
3,132.042,2,C(C(CC(CO)O)=O)=O
3,162.053,1,C1(CC(C(C(CO)O)O1)O)=O
3,144.042,2,C1(CC(C(C(C1)=O)O)O)=O
3,144.042,2,C(C1C(CC(C1O)=O)O)=O
3,144.042,2,C1(CCOC(C(C1)=O)O)=O
3,144.042,2,C1(COC(C(CC1)=O)O)=O
3,144.042,2,C(C)(C1CC(C(O)O1)=O)=O
3,144.042,2,C(CC1CC(C(O)O1)=O)=O
3,100.016,2,C(CC(C=O)=O)=O
3,72.021,2,C(CC=O)=O
3,188.068,2,C(CC(C(CC(CC=O)O)=O)O)=O
3,144.042,2,C1(C(CC(O)OCC1)=O)=O
3,144.042,2,C1(CC(OCC(C1)=O)O)=O
3,144.042,2,C1(CC(OC1C(C)=O)O)=O
3,144.042,2,C(CC1C(CC(O1)O)=O)=O
3,144.042,2,C(C)(CC(C(CO)=O)=O)=O
3,144.042,2,C(CCC(C(CO)=O)=O)=O
3,144.042,2,C(CO)(CC(C(C)=O)=O)=O
3,176.068,2,C(C)(C(C(CC(CO)=O)O)O)=O
3,146.058,2,C(CC(C(CC=O)O)O)=O
3,88.016,2,C(C(CO)=O)=O
3,146.058,2,C(C)(C(C(C(C)=O)O)O)=O
3,190.048,2,C(C(C(C(CC(C=O)O)=O)O)O)=O
3,134.058,2,C(C(CO)O)(CCO)=O
2,162.053,1,C(C1(C(C(CC1O)O)O)O)=O
2,192.063,2,C(C(CO)(CC(C(C=O)O)O)O)=O
2,144.042,1,C(C(C(C=CC=O)O)O)=O
2,144.042,2,C(C(C=CC(C=O)O)O)=O
2,144.042,2,C(C(CCC(C=O)=O)O)=O
2,192.063,2,C(C(C(C=O)O)O)(C(CO)(C)O)=O
2,192.063,2,C(C(CO)(C(C=O)O)O)(C(C)O)=O
2,192.063,2,C(C(CO)(C(C(C(C)O)=O)O)O)=O
2,162.053,2,C(C(C)O)(C(C(CO)=O)O)=O
2,104.047,2,C(CO)(C(C)O)=O
2,102.032,2,C(C(C(C)O)=O)=O
2,144.042,1,C(C(C(C(C=C)=O)O)O)=O
2,144.042,2,C(CC(C(C(C)O)=O)=O)=O
2,144.042,2,C(C(C)O)(CC(C=O)=O)=O
2,194.079,2,C(CO)(C(CO)(C(CO)(C)O)O)=O
2,180.063,2,C(CO)(C(CO)(C(CO)O)O)=O
2,164.068,2,C(CO)(C(CO)(C(C)O)O)=O
2,150.053,2,C(CO)(C(CO)(CO)O)=O
2,196.058,2,C(C(C(CO)(C(CO)O)O)O)(O)=O
2,180.063,2,C(C(C(CO)(C(CO)O)O)O)=O
2,164.068,2,C(C(C(C)O)O)(C(CO)O)=O
2,164.068,2,C(CC(CO)(C(CO)O)O)=O
2,194.079,2,C(C(C(CO)(C)O)O)(C(CO)O)=O
2,194.079,2,C(C)(C(C(CO)(C(CO)O)O)O)=O
2,194.079,2,C(CO)(CC(CO)(C(CO)O)O)=O
2,150.053,2,C(C(CO)O)(C(CO)O)=O
2,178.048,2,C(C(C(C=O)O)O)(C(CO)O)=O
2,192.063,2,C(C(C)(C(C(C(CO)O)=O)O)O)=O
2,192.063,2,C(C(CC(CO)(C(CO)O)O)=O)=O
2,162.053,2,C1C2C(CC(C(O)O1)(O)O2)O
2,162.053,2,C(C1C2CC(C(O)O2)(O)O1)O
2,162.053,2,C1C2C(C(CC(O)O2)(O)O1)O
2,162.053,2,C1C(C2C(CC(O)O2)(O)O1)O
2,118.027,2,C1(C(C(CO1)O)O)=O
2,144.042,2,C(CC1(CC(CO1)=O)O)=O
2,144.042,2,C(CC1(C(CCO1)=O)O)=O
2,192.063,2,C(C(CO)C1(C(C(CO1)O)O)O)=O
2,192.063,2,C(C(CO)(C1(CC(CO1)O)O)O)=O
2,162.053,2,C1C2CC(C(C(O)O2)O)(O)O1
2,162.053,2,C(CO)(C1(CC(CO1)O)O)=O
2,102.032,2,C1(CC(CO1)O)=O
2,192.063,2,C(C1(CO)C(CC(CO)(O1)O)O)=O
2,162.053,2,C1C2(CC(C(C(O)O1)O2)O)O
2,192.063,2,C(C1(CO)C(C(C(C)(O1)O)O)O)=O
2,162.053,2,CC1(C2C(C(C(O)O2)O1)O)O
2,144.042,2,C1(CC(C=O)OC1(C)O)=O
2,144.042,2,C(C1C(CC(C)(O1)O)=O)=O
2,192.063,2,C(C(CO)(C1C(CC(O)O1)O)O)=O
2,162.053,2,C1(CC2C(C(C(O)O2)O)O1)O
2,162.053,2,C(CO)(C1C(CC(O1)O)O)=O
2,102.032,2,C1(C(O)OCC1)=O
2,162.053,2,C1(C(CO)OC(CO)(C1)O)=O
2,162.053,2,C1(C(CO)(O)OC(CO)C1)=O
2,162.053,2,C1C2C(CC(C(O)O2)(O)O1)O
2,162.053,2,C1C(C2CC(C(O)O2)(O)O1)O
2,144.042,2,C(C1(CCC(CO1)=O)O)=O
2,144.042,2,C1(CC(C=O)(O)OCC1)=O
2,192.063,2,C(C1(CO)C(C(CC(O1)O)O)O)=O
2,162.053,2,C1(C2C(C(CC(O)O2)O1)O)O
2,144.042,2,C1(CC(C=O)OC(C1)O)=O
2,144.042,2,C(C1C(CCC(O1)O)=O)=O
2,162.053,2,C1(COC(CO)(C(C1)O)O)=O
2,162.053,2,C1(C(C(CO)(O)OCC1)O)=O
2,162.053,2,C1(C(COC(CO)(C1)O)O)=O
2,162.053,2,C1(C(CO)(O)OCC(C1)O)=O
2,144.042,2,C1C(C(C(C=1)=O)(CO)O)O
2,144.042,2,C1(CC(C(C1CO)=O)O)=O
2,144.042,2,C(C1(C(C=CC1O)O)O)=O
2,144.042,2,C(C1(C(CC(C1)=O)O)O)=O
2,144.042,2,C(C1C(C(CC1O)O)=O)=O
2,178.048,2,C(C1C2C(C(C(O)(O2)O1)O)O)O
2,160.037,2,C(CC1C(C(C(O1)=O)O)O)=O
2,160.037,2,C1(C(C(C(C(C)=O)O1)O)O)=O
2,160.037,2,C1(CC(C(C(CO)O)O1)=O)=O
2,160.037,2,C1(C(CC(C(CO)O)O1)=O)=O
2,178.048,1,C1(C(C(C(C(CO)O)O1)O)O)=O
2,160.037,2,C1(CC(C(OC1CO)=O)O)=O
2,160.037,2,C1(C(C(CC(CO)O1)=O)O)=O
2,160.037,2,C1(CC(C(C(CO)O1)O)=O)=O
2,160.037,2,C1(C(CC(C(CO)O1)O)=O)=O
2,178.048,2,C(CC1C(C(C(O)(O)O1)O)O)=O
2,178.048,2,C(C)(C1C(C(C(O1)(O)O)O)O)=O
2,178.048,2,C1(C(C(CO)O)OC(C1)(O)O)=O
2,178.048,2,C1(C(O)(O)OC(C(CO)O)C1)=O
2,178.048,2,C1(C(CO)OC(C(C1)O)(O)O)=O
2,178.048,2,C1(C(C(O)(O)OC(CO)C1)O)=O
2,178.048,2,C1(C(C(CO)OC(C1)(O)O)O)=O
2,178.048,2,C1(C(O)(O)OC(CO)C(C1)O)=O
2,178.048,2,C1(COC(C(C(C1)O)O)(O)O)=O
2,178.048,2,C1(C(C(C(O)(O)OCC1)O)O)=O
2,178.048,2,C1(C(COC(C(C1)O)(O)O)O)=O
2,178.048,2,C1(C(C(O)(O)OCC(C1)O)O)=O
2,178.048,2,C1(C(C(COC(C1)(O)O)O)O)=O
2,178.048,2,C1(C(O)(O)OCC(C(C1)O)O)=O
2,194.079,2,C(C(CO)(C(C(CCO)O)O)O)=O
2,166.048,2,C(C(C(CO)(CO)O)O)(O)=O
2,150.053,2,C(C(C(CO)(C)O)O)(O)=O
2,180.063,2,C(C(C(CO)(CCO)O)O)(O)=O
